N_stages,feed_stage,feed_stage_ratio,reflux_ratio,z_feed_benzene,feed_temperature_K,feed_pressure_Pa,feed_quality_q,feed_vapor_fraction,xD_distillate_purity,xB_bottoms_purity,Qc_condenser_duty_kW,Qr_reboiler_duty_kW,bubble_point_T_K,relative_volatility
5,3,0.6,1.7688,0.6795,350.1,95715.0,0.5943,0.4057,0.76794,0.28304,1.968,2.132,450.0,1.9965
5,2,0.4,1.5414,0.5627,385.5,121014.0,0.8362,0.1638,0.6834,0.1788,1.692,1.623,300.0,2.9638
23,13,0.565,1.726,0.3193,370.43,100856.0,0.9885,0.0115,0.79995,0.02,0.907,1.474,450.0,1.9965
6,2,0.333,1.583,0.1635,374.42,109868.0,0.5509,0.4491,0.3944,0.02015,0.885,1.453,450.0,1.9965
25,8,0.32,4.0743,0.1685,385.85,101371.0,0.5042,0.4958,0.80872,0.00697,0.886,1.621,450.0,1.9965
16,4,0.25,2.2705,0.8154,357.72,95353.0,0.7168,0.2832,0.86632,0.47537,2.453,2.569,450.0,1.9965
10,3,0.3,1.0429,0.2535,394.06,115182.0,0.5463,0.4537,0.45953,0.03929,0.927,1.162,300.0,2.9638
8,3,0.375,4.8702,0.3587,367.31,92173.0,0.8742,0.1258,0.5357,0.0715,3.214,3.564,450.0,1.9965
15,5,0.333,4.5119,0.2813,341.06,119946.0,0.9573,0.0427,0.78718,0.01662,1.643,2.083,300.0,2.9638
21,6,0.286,4.6966,0.384,378.71,102703.0,0.717,0.283,0.75651,0.03525,2.396,2.871,450.0,1.9965
10,3,0.3,4.9786,0.1555,385.53,90005.0,0.6294,0.3706,0.38861,0.01876,1.979,2.559,450.0,1.9965
9,4,0.444,1.5304,0.5152,352.17,110445.0,0.7172,0.2828,0.64904,0.14695,1.628,1.871,450.0,1.9965
24,8,0.333,2.4642,0.1541,390.0,91874.0,0.8617,0.1383,0.75183,0.0074,0.594,1.334,450.0,1.9965
6,2,0.333,3.9846,0.7403,393.43,101047.0,0.5045,0.4955,0.81197,0.35705,3.637,3.779,450.0,1.9965
10,5,0.5,3.7233,0.287,349.38,118279.0,0.7947,0.2053,0.4909,0.04694,2.268,2.526,300.0,2.9638
15,8,0.533,1.4464,0.532,398.85,92508.0,0.8066,0.1934,0.66117,0.15763,1.594,1.828,450.0,1.9965
20,5,0.25,4.2265,0.8041,339.85,123574.0,0.8188,0.1812,0.97555,0.09829,3.595,3.648,300.0,2.9638
