N_stages,feed_stage,feed_stage_ratio,reflux_ratio,z_feed_benzene,feed_temperature_K,feed_pressure_Pa,feed_quality_q,feed_vapor_fraction,xD_distillate_purity,xB_bottoms_purity,Qc_condenser_duty_kW,Qr_reboiler_duty_kW,bubble_point_T_K,relative_volatility
7,2,0.286,3.5489,0.8869,391.09,123882.0,0.8594,0.1406,0.91815,0.62762,3.488,3.285,300.0,2.9638
5,3,0.6,1.9477,0.2913,337.88,90944.0,0.8662,0.1338,0.48693,0.04952,1.448,1.858,450.0,1.9965
24,17,0.708,4.7936,0.2138,379.26,125942.0,0.7575,0.2425,0.92264,0.00597,1.128,1.587,300.0,2.9638
25,8,0.32,1.4344,0.1971,367.85,121328.0,0.5807,0.4193,0.921,0.00539,0.438,0.999,300.0,2.9638
5,2,0.4,2.6158,0.3426,336.76,121215.0,0.5418,0.4582,0.52406,0.06577,1.935,2.216,300.0,2.9638
7,4,0.571,4.7632,0.1808,346.93,108320.0,0.5096,0.4904,0.40693,0.02332,2.115,2.658,450.0,1.9965
22,11,0.5,2.5629,0.6537,330.87,105920.0,0.5829,0.4171,0.8618,0.11242,2.22,2.474,450.0,1.9965
14,9,0.643,3.4818,0.1498,362.81,102117.0,0.9454,0.0546,0.38448,0.0178,1.445,2.034,450.0,1.9965
7,2,0.286,2.4699,0.5075,351.09,92628.0,0.6208,0.3792,0.64346,0.14224,2.22,2.467,450.0,1.9965
12,7,0.583,1.9517,0.8974,371.89,99129.0,0.6771,0.3229,0.92569,0.65401,2.27,2.361,450.0,1.9965
18,6,0.333,4.9327,0.7512,350.81,99864.0,0.5527,0.4473,0.82634,0.35058,4.322,4.464,450.0,1.9965
22,7,0.318,2.5192,0.5922,350.99,109363.0,0.6112,0.3888,0.84514,0.08226,2.032,2.336,450.0,1.9965
19,6,0.316,4.5552,0.345,382.02,119898.0,0.7596,0.2404,0.93555,0.01166,1.719,2.05,300.0,2.9638
6,3,0.5,1.7658,0.5991,333.37,108952.0,0.8039,0.1961,0.70976,0.20693,1.884,2.083,450.0,1.9965
14,8,0.571,1.695,0.5216,393.2,92314.0,0.6227,0.3773,0.65366,0.15095,1.743,1.982,450.0,1.9965
6,3,0.5,0.9308,0.4409,389.66,128312.0,0.5289,0.4711,0.59519,0.10617,1.164,1.259,300.0,2.9638
21,9,0.429,3.537,0.2046,376.75,127709.0,0.6955,0.3045,0.92173,0.00564,0.846,1.341,300.0,2.9638
12,8,0.667,2.3478,0.8093,371.53,121408.0,0.6171,0.3829,0.86401,0.4545,2.502,2.451,300.0,2.9638
5,2,0.4,4.4303,0.4598,392.46,129653.0,0.6098,0.3902,0.60892,0.11563,3.335,3.381,300.0,2.9638
13,8,0.615,2.7875,0.2557,342.97,111779.0,0.9799,0.0201,0.46113,0.03985,1.727,2.176,450.0,1.9965
15,7,0.467,4.8664,0.3942,335.53,128511.0,0.8082,0.1918,0.82261,0.02815,2.339,2.717,300.0,2.9638
20,8,0.4,1.5792,0.4313,346.77,93024.0,0.7784,0.2216,0.58826,0.10163,1.54,1.835,450.0,1.9965
11,5,0.455,4.4482,0.762,385.62,104627.0,0.7079,0.2921,0.82771,0.38785,4.009,4.143,450.0,1.9965
14,5,0.357,4.0617,0.6869,332.43,99015.0,0.7145,0.2855,0.77331,0.29122,3.609,3.771,450.0,1.9965
7,4,0.571,4.0379,0.7154,370.8,97833.0,0.7705,0.2295,0.79398,0.32482,3.638,3.789,450.0,1.9965
22,11,0.5,4.3481,0.1088,399.68,95632.0,0.8482,0.1518,0.68831,0.00557,0.707,1.489,450.0,1.9965
17,6,0.353,3.9963,0.4329,389.9,114897.0,0.8511,0.1489,0.89239,0.02417,2.025,2.199,300.0,2.9638
11,7,0.636,3.4301,0.4851,366.5,121253.0,0.5858,0.4142,0.69607,0.08973,2.525,2.686,300.0,2.9638
8,3,0.375,1.3512,0.1154,334.45,113132.0,0.7501,0.2499,0.35952,0.01246,0.625,1.162,300.0,2.9638
17,8,0.471,0.9366,0.3079,388.2,95879.0,0.706,0.294,0.49888,0.05443,0.98,1.375,450.0,1.9965
24,16,0.667,4.6676,0.7082,371.93,122445.0,0.9353,0.0647,0.97129,0.05338,3.458,3.458,300.0,2.9638
5,2,0.4,3.3899,0.2097,338.05,115438.0,0.8157,0.1843,0.42781,0.02913,1.774,2.146,300.0,2.9638
12,3,0.25,4.1455,0.5282,336.57,105527.0,0.7663,0.2337,0.65845,0.15518,3.344,3.58,450.0,1.9965
18,12,0.667,2.8224,0.2722,393.67,116965.0,0.5577,0.4423,0.87812,0.01075,0.993,1.417,300.0,2.9638
20,11,0.55,1.2927,0.1097,376.84,100396.0,0.8028,0.1972,0.48447,0.00883,0.432,1.158,450.0,1.9965
18,7,0.389,1.3258,0.293,388.05,103808.0,0.5586,0.4414,0.4881,0.04999,1.146,1.555,450.0,1.9965
16,5,0.312,3.6794,0.8807,391.53,126699.0,0.6686,0.3314,0.95816,0.31726,3.522,3.399,300.0,2.9638
23,14,0.609,2.6073,0.7412,370.02,101620.0,0.5714,0.4286,0.84918,0.25847,2.546,2.711,450.0,1.9965
19,10,0.526,1.6422,0.8677,366.22,108800.0,0.846,0.154,0.93391,0.39707,1.987,1.884,300.0,2.9638
6,3,0.5,2.8647,0.4903,360.13,125606.0,0.6031,0.3969,0.63097,0.13212,2.438,2.548,300.0,2.9638
6,4,0.667,1.0697,0.1878,352.19,118309.0,0.6959,0.3041,0.41196,0.02466,0.779,1.157,300.0,2.9638
23,14,0.609,3.2443,0.5384,360.42,92488.0,0.9478,0.0522,0.85197,0.05593,2.221,2.583,450.0,1.9965
21,6,0.286,1.9298,0.4635,384.17,95892.0,0.6022,0.3978,0.77946,0.05206,1.439,1.838,450.0,1.9965
24,9,0.375,4.1497,0.7755,372.13,90314.0,0.7539,0.2461,0.91483,0.18657,3.578,3.752,450.0,1.9965
14,5,0.357,2.1035,0.1785,392.48,115237.0,0.7096,0.2904,0.713,0.01019,0.649,1.07,300.0,2.9638
10,6,0.6,2.7119,0.4906,361.04,107907.0,0.5091,0.4909,0.63119,0.1323,2.342,2.599,450.0,1.9965
19,5,0.263,0.8488,0.22,372.5,95371.0,0.8964,0.1036,0.43531,0.03138,0.77,1.26,450.0,1.9965
15,8,0.533,1.1043,0.3597,374.19,128317.0,0.5345,0.4655,0.69748,0.03802,0.897,1.204,300.0,2.9638
9,5,0.556,2.4485,0.6899,371.42,111186.0,0.7371,0.2629,0.77548,0.29458,2.462,2.623,450.0,1.9965
5,3,0.6,2.8157,0.4808,379.18,99676.0,0.7803,0.2197,0.62411,0.12682,2.388,2.651,450.0,1.9965
12,5,0.417,3.3201,0.4007,346.62,110024.0,0.8142,0.1858,0.56611,0.08803,2.495,2.812,450.0,1.9965
25,16,0.64,2.025,0.4156,365.87,117185.0,0.8443,0.1557,0.94249,0.01579,1.119,1.414,300.0,2.9638
16,4,0.25,3.7189,0.4676,337.3,93050.0,0.6266,0.3734,0.61451,0.11966,2.918,3.19,450.0,1.9965
16,10,0.625,4.4125,0.728,356.92,100988.0,0.505,0.495,0.80308,0.34076,3.93,4.076,450.0,1.9965
9,2,0.222,4.0754,0.8137,364.14,122279.0,0.8617,0.1383,0.8651,0.47231,3.805,3.709,300.0,2.9638
11,4,0.364,0.9664,0.8643,375.66,108387.0,0.7678,0.2322,0.90173,0.57423,1.498,1.377,300.0,2.9638
8,5,0.625,2.8181,0.7295,396.54,111863.0,0.9181,0.0819,0.80417,0.34272,2.774,2.574,300.0,2.9638
10,3,0.3,1.2407,0.3523,372.05,107313.0,0.9107,0.0893,0.53108,0.06919,1.216,1.571,450.0,1.9965
17,6,0.353,1.8166,0.6505,382.05,91756.0,0.9217,0.0783,0.74697,0.25311,1.973,2.15,450.0,1.9965
24,14,0.583,4.944,0.4501,365.44,96630.0,0.7425,0.2575,0.85789,0.03236,2.596,3.05,450.0,1.9965
19,11,0.579,1.3985,0.3037,374.39,107822.0,0.6668,0.3332,0.56692,0.04076,1.058,1.518,450.0,1.9965
7,3,0.429,2.8953,0.7727,334.97,98367.0,0.8958,0.1042,0.83543,0.40392,2.878,3.008,450.0,1.9965
12,7,0.583,3.3963,0.1307,347.81,91999.0,0.7256,0.2744,0.37066,0.01474,1.284,1.905,450.0,1.9965
24,12,0.5,3.7504,0.8214,355.33,123746.0,0.5917,0.4083,0.98243,0.09751,3.321,3.362,300.0,2.9638
20,7,0.35,3.1505,0.4692,363.07,129248.0,0.9275,0.0725,0.94777,0.01965,1.723,1.96,300.0,2.9638
17,7,0.412,0.841,0.6098,333.2,121726.0,0.9413,0.0587,0.8164,0.11213,1.126,1.27,300.0,2.9638
22,7,0.318,2.1711,0.6275,339.8,124151.0,0.7332,0.2668,0.96334,0.03737,1.73,1.947,300.0,2.9638
14,9,0.643,2.9744,0.8161,349.38,99679.0,0.5378,0.4622,0.86685,0.47672,2.982,3.097,450.0,1.9965
23,12,0.522,1.169,0.6093,398.01,128425.0,0.6939,0.3061,0.96156,0.03464,1.151,1.23,300.0,2.9638
21,9,0.429,2.2726,0.5911,353.19,97877.0,0.9018,0.0982,0.83543,0.08702,1.906,2.205,450.0,1.9965
23,11,0.478,0.9395,0.1533,363.74,128057.0,0.9509,0.0491,0.86631,0.00496,0.288,0.792,300.0,2.9638
9,6,0.667,1.13,0.5147,343.73,129793.0,0.6017,0.3983,0.64866,0.14663,1.37,1.507,300.0,2.9638
25,8,0.32,2.4671,0.2201,372.75,118469.0,0.5335,0.4665,0.92326,0.0062,0.694,1.237,300.0,2.9638
13,7,0.538,1.3574,0.6899,349.65,129246.0,0.9387,0.0613,0.8252,0.19844,1.6,1.613,300.0,2.9638
16,8,0.5,3.1837,0.5098,344.49,112782.0,0.6947,0.3053,0.64508,0.1436,2.681,2.927,450.0,1.9965
25,13,0.52,3.6958,0.6442,366.16,100382.0,0.7709,0.2291,0.91332,0.06915,2.748,3.041,450.0,1.9965
5,2,0.4,4.1625,0.1333,330.39,107480.0,0.984,0.016,0.37254,0.01514,1.53,2.146,450.0,1.9965
5,3,0.6,1.6406,0.1678,330.54,113742.0,0.5333,0.4667,0.39751,0.02091,0.921,1.413,300.0,2.9638
19,13,0.684,1.5034,0.6731,345.33,92923.0,0.8242,0.1758,0.76849,0.26498,1.763,1.935,450.0,1.9965
6,3,0.5,1.2392,0.1577,332.57,114894.0,0.5371,0.4629,0.39015,0.01912,0.748,1.251,300.0,2.9638
20,11,0.55,3.473,0.157,337.56,129247.0,0.6877,0.3123,0.91705,0.00407,0.644,1.301,300.0,2.9638
12,8,0.667,3.7672,0.1097,353.72,97604.0,0.9019,0.0981,0.35541,0.01166,1.22,1.878,450.0,1.9965
17,10,0.588,0.9327,0.8652,386.18,121704.0,0.7167,0.2833,0.90241,0.57632,1.472,1.338,300.0,2.9638
25,8,0.32,4.7321,0.69,370.04,126316.0,0.9986,0.0014,0.9695,0.04908,3.414,3.419,300.0,2.9638
5,2,0.4,1.0183,0.3826,365.89,127748.0,0.7795,0.2205,0.553,0.08061,1.14,1.259,300.0,2.9638
20,11,0.55,3.0734,0.3372,350.54,128405.0,0.6606,0.3394,0.93478,0.01126,1.233,1.691,300.0,2.9638
11,5,0.455,3.7781,0.3798,395.22,110858.0,0.6101,0.3899,0.55095,0.07949,2.69,3.023,450.0,1.9965
9,5,0.556,4.4581,0.7197,357.79,129092.0,0.6753,0.3247,0.79708,0.33016,3.949,3.946,300.0,2.9638
7,5,0.714,3.7992,0.6291,336.1,120292.0,0.6863,0.3137,0.73147,0.23287,3.324,3.412,300.0,2.9638
16,11,0.688,4.1673,0.2482,373.19,96467.0,0.5344,0.4656,0.45567,0.03796,2.316,2.772,450.0,1.9965
20,9,0.45,2.2257,0.2393,337.97,109076.0,0.6848,0.3152,0.62702,0.02083,1.022,1.61,450.0,1.9965
23,7,0.304,4.2223,0.1787,354.17,118733.0,0.7321,0.2679,0.91919,0.00477,0.853,1.431,300.0,2.9638
9,6,0.667,1.1365,0.6282,365.52,99894.0,0.8614,0.1386,0.73085,0.23209,1.479,1.666,450.0,1.9965
18,12,0.667,4.5582,0.7115,391.2,115625.0,0.8284,0.1716,0.96109,0.06339,3.435,3.395,300.0,2.9638
9,2,0.222,3.0999,0.312,364.55,116664.0,0.8544,0.1456,0.50191,0.05573,2.09,2.251,300.0,2.9638
19,13,0.684,4.2327,0.1168,379.16,96508.0,0.5042,0.4958,0.5489,0.00839,0.928,1.664,450.0,1.9965
21,14,0.667,2.6997,0.1657,399.5,112603.0,0.6088,0.3912,0.91791,0.00435,0.561,1.062,300.0,2.9638
18,9,0.5,3.503,0.8743,339.2,120865.0,0.8308,0.1692,0.96625,0.24837,3.359,3.351,300.0,2.9638
24,13,0.542,3.0109,0.3364,349.23,109956.0,0.742,0.258,0.51952,0.06363,2.126,2.495,450.0,1.9965
9,4,0.444,3.8727,0.7154,357.62,90484.0,0.5027,0.4973,0.79393,0.32474,3.519,3.67,450.0,1.9965
16,4,0.25,1.1428,0.5997,359.53,90362.0,0.9022,0.0978,0.71021,0.20743,1.46,1.659,450.0,1.9965
20,8,0.4,1.0535,0.4056,358.77,104281.0,0.8864,0.1136,0.56962,0.09009,1.192,1.506,450.0,1.9965
20,13,0.65,1.8378,0.2645,393.53,127048.0,0.7742,0.2258,0.92763,0.00793,0.68,1.04,300.0,2.9638
25,6,0.24,1.4701,0.1971,379.98,99147.0,0.5332,0.4668,0.80477,0.00883,0.506,1.21,450.0,1.9965
11,4,0.364,4.4615,0.592,372.55,115375.0,0.8833,0.1167,0.77273,0.12954,3.412,3.413,300.0,2.9638
8,3,0.375,1.7207,0.7197,351.66,98883.0,0.7919,0.2081,0.79707,0.33014,1.968,2.117,450.0,1.9965
5,2,0.4,4.8986,0.6151,387.67,102867.0,0.891,0.109,0.72135,0.22044,4.055,4.247,450.0,1.9965
9,6,0.667,2.215,0.5242,396.85,123922.0,0.8759,0.1241,0.65555,0.15261,2.083,1.979,300.0,2.9638
14,5,0.357,1.5649,0.1336,387.48,119154.0,0.9015,0.0985,0.63145,0.00836,0.453,0.852,300.0,2.9638
9,3,0.333,4.1167,0.8748,330.11,93816.0,0.759,0.241,0.90935,0.59834,3.909,4.007,450.0,1.9965
8,4,0.5,3.5666,0.739,374.55,107148.0,0.5702,0.4298,0.81102,0.35527,3.33,3.472,450.0,1.9965
6,2,0.333,2.8924,0.3343,333.58,91167.0,0.8356,0.1644,0.518,0.06292,2.057,2.427,450.0,1.9965
24,8,0.333,3.1325,0.884,348.03,109236.0,0.8102,0.1898,0.9856,0.16926,3.091,3.057,300.0,2.9638
14,6,0.429,3.8206,0.5815,334.17,116497.0,0.8711,0.1289,0.84461,0.07691,2.737,2.933,300.0,2.9638
23,7,0.304,1.7595,0.5659,372.27,94740.0,0.5849,0.4151,0.87553,0.05684,1.479,1.826,450.0,1.9965
5,2,0.4,4.9846,0.6985,378.06,101555.0,0.5975,0.4025,0.78168,0.30441,4.29,4.447,450.0,1.9965
9,4,0.444,4.8941,0.7494,338.01,105913.0,0.9452,0.0548,0.81858,0.36968,4.317,4.455,450.0,1.9965
17,7,0.412,3.5314,0.6252,356.87,126781.0,0.875,0.125,0.92602,0.05469,2.547,2.666,300.0,2.9638
8,5,0.625,1.6381,0.2025,361.94,129730.0,0.9541,0.0459,0.42259,0.02761,1.043,1.305,300.0,2.9638
20,8,0.4,3.657,0.3706,355.83,91796.0,0.8794,0.1206,0.71161,0.03868,2.005,2.471,450.0,1.9965
20,10,0.5,1.1032,0.8425,338.47,120440.0,0.7986,0.2014,0.90394,0.42954,1.574,1.572,300.0,2.9638
6,3,0.5,0.9287,0.2797,359.33,104869.0,0.8271,0.1729,0.4785,0.04622,0.926,1.348,450.0,1.9965
21,5,0.238,1.8823,0.3977,382.58,105698.0,0.9446,0.0554,0.56396,0.08677,1.659,1.978,450.0,1.9965
24,13,0.542,2.743,0.4457,334.97,120171.0,0.7894,0.2106,0.94545,0.01787,1.479,1.863,300.0,2.9638
16,5,0.312,4.4467,0.4515,335.61,126737.0,0.8162,0.1838,0.87002,0.03048,2.355,2.695,300.0,2.9638
22,16,0.727,3.8541,0.5904,354.83,128037.0,0.5782,0.4218,0.95969,0.03203,2.501,2.741,300.0,2.9638
7,2,0.286,3.9194,0.8545,395.92,113085.0,0.737,0.263,0.89463,0.55273,3.736,3.57,300.0,2.9638
5,2,0.4,2.5871,0.2926,376.8,104285.0,0.8582,0.1418,0.48781,0.04987,1.766,2.175,450.0,1.9965
5,2,0.4,2.2529,0.1972,377.51,121502.0,0.6355,0.3645,0.41877,0.02653,1.264,1.575,300.0,2.9638
23,17,0.739,2.3584,0.258,355.33,100040.0,0.6011,0.3989,0.76442,0.01551,0.945,1.568,450.0,1.9965
15,7,0.467,4.9481,0.8095,371.56,112563.0,0.6569,0.3431,0.93556,0.20052,4.227,4.202,300.0,2.9638
9,4,0.444,0.9685,0.6166,330.71,104343.0,0.6208,0.3792,0.72245,0.22177,1.354,1.546,450.0,1.9965
16,4,0.25,4.4415,0.3287,374.53,116265.0,0.6075,0.3925,0.84088,0.01778,1.777,2.161,300.0,2.9638
7,4,0.571,3.2304,0.7528,393.93,99616.0,0.7124,0.2876,0.821,0.37441,3.102,3.239,450.0,1.9965
5,2,0.4,2.6422,0.7891,372.88,97664.0,0.9539,0.0461,0.84731,0.42997,2.707,2.832,450.0,1.9965
5,3,0.6,3.8461,0.7772,391.16,126730.0,0.7535,0.2465,0.8387,0.41093,3.587,3.45,300.0,2.9638
12,4,0.333,2.844,0.8351,380.68,94072.0,0.594,0.406,0.88064,0.51293,2.902,3.012,450.0,1.9965
14,4,0.286,4.4684,0.3018,338.44,110238.0,0.5385,0.4615,0.4945,0.0526,2.738,3.138,450.0,1.9965
15,4,0.267,4.5829,0.704,393.17,98834.0,0.8481,0.1519,0.78572,0.31097,4.012,4.167,450.0,1.9965
16,7,0.438,2.5712,0.4684,334.65,91557.0,0.6914,0.3086,0.61514,0.12012,2.21,2.481,450.0,1.9965
17,9,0.529,1.9627,0.7736,367.38,91441.0,0.9109,0.0891,0.83609,0.40531,2.19,2.319,450.0,1.9965
16,4,0.25,3.2879,0.6828,339.95,97009.0,0.8298,0.1702,0.77034,0.28668,3.052,3.215,450.0,1.9965
18,11,0.611,4.6319,0.7212,330.82,124671.0,0.8981,0.1019,0.96098,0.06772,3.527,3.665,300.0,2.9638
6,2,0.333,1.6848,0.6249,359.54,101299.0,0.636,0.364,0.72845,0.2291,1.856,2.043,450.0,1.9965
23,11,0.478,3.4165,0.2419,350.65,128018.0,0.8462,0.1538,0.92541,0.00702,0.97,1.475,300.0,2.9638
22,10,0.455,3.4526,0.536,364.02,113265.0,0.632,0.368,0.8326,0.06187,2.369,2.722,450.0,1.9965
7,3,0.429,3.8791,0.8877,370.4,107465.0,0.9695,0.0305,0.91872,0.62958,3.742,3.836,450.0,1.9965
21,11,0.524,1.3526,0.8499,333.06,113204.0,0.8182,0.1818,0.9252,0.35984,1.751,1.767,300.0,2.9638
12,3,0.25,3.8065,0.1345,338.61,110668.0,0.6623,0.3377,0.57115,0.00971,0.943,1.55,300.0,2.9638
14,4,0.286,4.6179,0.2319,369.1,120351.0,0.6348,0.3652,0.72113,0.01493,1.505,1.958,300.0,2.9638
6,4,0.667,1.5547,0.2054,354.02,101300.0,0.5955,0.4045,0.4247,0.02822,1.019,1.528,450.0,1.9965
23,16,0.696,1.7977,0.6808,381.04,104122.0,0.8473,0.1527,0.84626,0.15598,1.837,2.056,450.0,1.9965
13,5,0.385,4.8799,0.7542,375.66,125764.0,0.6094,0.3906,0.88805,0.20322,4.073,4.072,300.0,2.9638
11,4,0.364,1.5601,0.2708,389.19,127858.0,0.7977,0.2023,0.52587,0.03618,1.086,1.267,300.0,2.9638
8,4,0.5,4.3884,0.5047,378.47,125702.0,0.6323,0.3677,0.64139,0.14053,3.439,3.488,300.0,2.9638
25,11,0.44,2.8676,0.7726,360.1,106778.0,0.831,0.169,0.88444,0.25052,2.743,2.903,450.0,1.9965
22,5,0.227,1.8384,0.6862,377.11,121215.0,0.9075,0.0925,0.96913,0.04825,1.682,1.69,300.0,2.9638
17,5,0.294,4.4571,0.5338,349.28,109053.0,0.889,0.111,0.68976,0.1347,3.431,3.688,450.0,1.9965
15,9,0.6,2.6703,0.5723,351.44,109902.0,0.8804,0.1196,0.69033,0.18586,2.459,2.671,450.0,1.9965
8,4,0.5,2.9622,0.5067,385.23,98187.0,0.5939,0.4061,0.64284,0.14173,2.533,2.781,450.0,1.9965
25,6,0.24,2.3088,0.338,361.25,113645.0,0.5442,0.4558,0.93486,0.0113,1.004,1.461,300.0,2.9638
8,2,0.25,3.2904,0.552,385.89,97445.0,0.8495,0.1505,0.67566,0.17118,2.836,3.059,450.0,1.9965
14,5,0.357,1.4868,0.6511,387.57,103263.0,0.6842,0.3158,0.7474,0.2537,1.743,1.919,450.0,1.9965
9,5,0.556,2.4425,0.7987,390.03,124201.0,0.7162,0.2838,0.85423,0.44595,2.567,2.44,300.0,2.9638
13,3,0.231,4.8715,0.609,394.16,98283.0,0.5156,0.4844,0.71694,0.21521,4.022,4.217,450.0,1.9965
7,2,0.286,1.8842,0.7089,360.17,92846.0,0.6298,0.3702,0.78924,0.3168,2.077,2.23,450.0,1.9965
21,13,0.619,3.5583,0.2281,352.32,92760.0,0.5168,0.4832,0.6858,0.01616,1.262,1.891,450.0,1.9965
7,2,0.286,2.1658,0.4692,370.75,127631.0,0.9396,0.0604,0.61573,0.12055,1.961,1.961,300.0,2.9638
20,11,0.55,4.0486,0.1075,355.98,110277.0,0.6217,0.3783,0.91217,0.00262,0.5,1.166,300.0,2.9638
8,2,0.25,1.3497,0.2973,372.08,106376.0,0.7787,0.2213,0.49128,0.05127,1.167,1.572,450.0,1.9965
22,6,0.273,4.8732,0.6812,379.39,122435.0,0.5195,0.4805,0.96863,0.04716,3.457,3.582,300.0,2.9638
21,7,0.333,2.7059,0.8934,378.19,123433.0,0.8334,0.1666,0.97518,0.26021,2.806,2.663,300.0,2.9638
11,6,0.545,1.7914,0.1793,356.22,103288.0,0.6615,0.3385,0.40584,0.02304,1.019,1.563,450.0,1.9965
9,6,0.667,1.1087,0.4212,341.68,117745.0,0.949,0.051,0.58095,0.09698,1.246,1.386,300.0,2.9638
16,10,0.625,1.513,0.7401,360.14,120845.0,0.9441,0.0559,0.90694,0.14856,1.685,1.665,300.0,2.9638
21,9,0.429,2.9831,0.2632,339.98,116186.0,0.6626,0.3374,0.9275,0.00787,0.949,1.504,300.0,2.9638
17,9,0.529,2.2154,0.5441,392.31,96064.0,0.9505,0.0495,0.66991,0.16568,2.113,2.341,450.0,1.9965
7,2,0.286,4.2813,0.6865,354.21,125035.0,0.9981,0.0019,0.77299,0.29074,3.765,3.715,300.0,2.9638
13,5,0.385,2.6097,0.5928,340.81,111564.0,0.9127,0.0873,0.70518,0.20179,2.449,2.652,450.0,1.9965
21,14,0.667,1.8446,0.2504,331.78,101299.0,0.9224,0.0776,0.68527,0.01901,0.864,1.465,450.0,1.9965
21,5,0.238,3.392,0.3843,375.21,107009.0,0.6245,0.3755,0.74797,0.03657,1.869,2.339,450.0,1.9965
24,7,0.292,3.7685,0.727,374.58,91503.0,0.7884,0.2116,0.90307,0.13865,3.156,3.366,450.0,1.9965
20,7,0.35,1.5016,0.5434,353.84,95115.0,0.5336,0.4664,0.75312,0.1014,1.476,1.771,450.0,1.9965
17,4,0.235,1.504,0.1042,335.02,120622.0,0.5475,0.4525,0.83066,0.0035,0.264,0.991,300.0,2.9638
23,7,0.304,0.954,0.7088,358.67,90000.0,0.9994,0.0006,0.78917,0.31668,1.407,1.56,450.0,1.9965
21,11,0.524,3.8929,0.1282,351.79,106663.0,0.6633,0.3367,0.64876,0.0076,0.808,1.556,450.0,1.9965
8,3,0.375,3.588,0.6966,377.4,110900.0,0.8741,0.1259,0.78033,0.30224,3.286,3.444,450.0,1.9965
16,11,0.688,2.7934,0.262,372.4,92185.0,0.9033,0.0967,0.46568,0.04147,1.755,2.196,450.0,1.9965
13,8,0.615,4.3455,0.8665,355.52,128923.0,0.929,0.071,0.93078,0.40869,4.022,3.935,300.0,2.9638
23,9,0.391,4.1838,0.3944,345.25,99045.0,0.9988,0.0012,0.81401,0.02931,2.088,2.58,450.0,1.9965
16,6,0.375,3.2585,0.3615,399.16,102168.0,0.6207,0.3793,0.53776,0.07254,2.341,2.688,450.0,1.9965
13,5,0.385,4.4467,0.2191,361.78,102158.0,0.5202,0.4798,0.43464,0.03117,2.263,2.754,450.0,1.9965
